,biosample,sample,...1,dataset,bioproject,sample_description,geo_loc_name,loc_description,lat,lon,is_water,environment,biome,biome_details,biome_type,to_be_considered,PROK.MAGs,temp,depth_str,log_depth,date,bioproject_longnames,bioproject_shortnames,references,depth,depth_original,date_original,year,month,day,min_filtersize_uM,max_filtersize_uM,study_id,instrument_model,within_MLD,analysis_type,distance_to_coast,MLD,ocean_mask,V1,PROK-MAGs,reference,depth_layer,size fraction,size_fraction,marine_region,library_strategy,library_source,library_selection,read_count,base_count
0,Gp0561256-S001,WIND23-1_Gp0561256-S001,11551.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,sea_ice_interface_1,not specified,87.3239,107.4423,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,69.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,681.51565631688,,0.0,,,,,,,Arctic Ocean,,,,,
1,Gp0561257-S001,WIND23-1_Gp0561257-S001,11552.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_1,not specified,87.5518,102.0858,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,199.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,700.390339651059,,0.0,,,,,,,Arctic Ocean,,,,,
2,Gp0561258-S001,WIND23-1_Gp0561258-S001,11553.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,sea_ice_interface_2,not specified,87.4458,95.6702,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,112.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,686.322575758821,,0.0,,,,,,,Arctic Ocean,,,,,
3,Gp0561259-S001,WIND23-1_Gp0561259-S001,11554.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,sea_ice_interface_3,not specified,87.4122,93.2151,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,64.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,682.997161146067,,0.0,,,,,,,Arctic Ocean,,,,,
4,Gp0561260-S001,WIND23-1_Gp0561260-S001,11555.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,interior_ice_2,not specified,87.4122,93.2151,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,139.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,682.997161146067,,0.0,,,,,,,Arctic Ocean,,,,,
5,Gp0561261-S001,WIND23-1_Gp0561261-S001,11556.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,interior_ice_3,not specified,87.4122,93.2151,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,115.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,682.997161146067,,0.0,,,,,,,Arctic Ocean,,,,,
6,Gp0561262-S001,WIND23-1_Gp0561262-S001,11557.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,interior_ice_4,not specified,87.4122,93.2151,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,131.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,682.997161146067,,0.0,,,,,,,Arctic Ocean,,,,,
7,Gp0561263-S001,WIND23-1_Gp0561263-S001,11558.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,interior_ice_1,not specified,87.4122,93.2151,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,130.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,682.997161146067,,0.0,,,,,,,Arctic Ocean,,,,,
8,Gp0561264-S001,WIND23-1_Gp0561264-S001,11559.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,meso/bathypelagic_1,not specified,87.5953,94.0846,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,142.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,703.129207071374,,0.0,,,,,,,Arctic Ocean,,,,,
9,Gp0561265-S001,WIND23-1_Gp0561265-S001,11560.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,meso/bathypelagic_2,not specified,87.6362,93.7496,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,138.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,705.696448243667,,0.0,,,,,,,Arctic Ocean,,,,,
